"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Sep-1997","     1105.45","     1115.00","     1097.95","     1104.70","       48043712","         1562.05"
"02-Sep-1997","     1104.90","     1125.85","     1102.45","     1117.15","       53377562","         1766.04"
"03-Sep-1997","     1118.45","     1145.40","     1118.45","     1134.70","       54904514","         1895.38"
"04-Sep-1997","     1134.30","     1138.80","     1123.70","     1137.15","       42314745","         1387.55"
"05-Sep-1997","     1137.20","     1152.30","     1137.20","     1149.25","       49757000","         1742.88"
"08-Sep-1997","     1148.70","     1160.85","     1136.85","     1158.25","       36166261","         1281.16"
"09-Sep-1997","     1158.30","     1168.35","     1154.95","     1159.55","       45642666","         1555.99"
"10-Sep-1997","     1159.00","     1159.00","     1143.95","     1154.55","       36392714","         1384.76"
"11-Sep-1997","     1154.60","     1163.30","     1152.55","     1154.30","       39294780","         1508.12"
"12-Sep-1997","     1154.20","     1154.20","     1138.25","     1142.85","       33305690","         1197.29"
"15-Sep-1997","     1142.75","     1143.35","     1136.30","     1141.00","       26854087","         1123.74"
"16-Sep-1997","     1141.10","     1149.25","     1137.80","     1140.15","       40368005","         1529.48"
"17-Sep-1997","     1140.30","     1141.75","     1132.75","     1134.20","        6781233","          219.90"
"18-Sep-1997","     1133.60","     1133.60","     1101.65","     1109.35","       35459269","         1341.38"
"19-Sep-1997","     1109.60","     1115.15","     1099.60","     1104.30","       32873578","         1279.32"
"22-Sep-1997","     1104.25","     1104.25","     1082.50","     1085.00","       33936889","         1359.97"
"23-Sep-1997","     1084.40","     1090.95","     1079.60","     1088.65","       34741761","         1310.21"
"24-Sep-1997","     1089.15","     1108.15","     1089.15","     1100.85","       29925008","         1137.45"
"25-Sep-1997","     1100.85","     1112.40","     1098.35","     1111.35","       41696697","         1770.72"
"26-Sep-1997","     1111.65","     1122.25","     1111.65","     1116.10","       34676311","         1355.16"
"29-Sep-1997","     1124.90","     1133.40","     1122.60","     1125.70","       40308704","         1712.69"
"30-Sep-1997","     1125.65","     1125.65","     1112.50","     1123.80","       38098056","         1564.62"
"01-Oct-1997","     1123.45","     1123.45","     1102.45","     1114.70","       33340166","         1304.39"
"09-Oct-1997","     1119.10","     1135.95","     1118.65","     1134.55","       40214413","         1552.52"
"10-Oct-1997","     1135.30","     1166.05","     1133.60","     1163.55","       71968400","         2885.40"
"13-Oct-1997","     1165.50","     1177.50","     1153.85","     1156.95","       67812031","         2849.45"
"14-Oct-1997","     1156.45","     1158.80","     1131.00","     1137.90","       59606397","         2323.68"
"15-Oct-1997","     1138.45","     1152.65","     1138.45","     1150.45","       42093265","         1466.41"
"16-Oct-1997","     1150.45","     1171.60","     1150.45","     1168.35","       53548263","         1818.33"
"17-Oct-1997","     1168.75","     1181.15","     1168.70","     1177.80","       53923349","         1929.10"
